id,name,description,ingredients,method,prep_time_mins,cook_time_mins,total_time_mins,difficulty,category,cuisine,tags,notes,image_url
1,Creamy Chicken Noodle Casserole,"A creamy, cheesy casserole packed with tender chicken and egg noodles. Easy and family-friendly.","Chicken;Egg Noodles;Cream Of Chicken Soup;Cream Of Mushroom Soup;Sour Cream;Milk;Cheddar;Salt;Pepper;Parsley;Onion","Preheat oven to 180°C || Cook egg noodles according to package instructions and drain || In a large bowl, combine chicken, noodles, cream of chicken soup, cream of mushroom soup, sour cream and milk || Stir in half of the cheese and season with salt and pepper || Spoon mixture into a greased baking dish || Sprinkle remaining cheese over the top || Bake 30–40 minutes until bubbling and golden on top","",30,"",easy,main,South African,"casserole,comfort,chicken,baked,cheesy,family-friendly,one-dish",Servings and prep time not specified in source; cook_time_mins set to lower bound of stated 30–40 minutes.,chicken_noodle.png
2,Baked Cream Cheese Beef-Spaghetti,"Comforting baked spaghetti tossed with cream cheese and a meaty tomato sauce, topped with Parmesan and mozzarella.","Spaghetti;Beef Mince;Spaghetti Sauce;Cream Cheese;Garlic;Italian Herbs;Garlic Salt;Parmesan;Mozzarella","Preheat oven to 180°C and lightly grease an ovenproof dish || Cook spaghetti in lightly salted water until just tender (~12 minutes); drain || Meanwhile brown the mince over medium-high heat 5–7 minutes and drain excess fat || Stir spaghetti sauce into the mince and simmer briefly || Place hot spaghetti in a large bowl; add cream cheese, garlic, Italian herbs and garlic salt; mix until cream cheese melts and coats the pasta || Spoon a thin layer of meat sauce into the bottom of the prepared dish || Top with the spaghetti and cover with remaining meat sauce || Sprinkle Parmesan and mozzarella over the top || Bake ~30 minutes until bubbling and golden","",30,"",medium,main,South African,"baked,pasta,beef,comfort,family-friendly,one-dish",Add mushrooms or spinach to the meat sauce for extra veg; serve with green salad and garlic bread.,spaghetti.png
3,Pineapple Chicken,Sweet-savory pineapple chicken thighs cooked in a sticky pineapple-soy glaze.,"Pineapple Juice;Chicken Thighs;Garlic;Paprika;Black Pepper;Salt;Water;Soy Sauce;Mustard;Tomato Sauce;Honey","Place chicken thighs in a pot with pineapple juice and cook until most of the liquid has evaporated || When chicken begins to brown, add garlic, paprika, black pepper, salt, water and soy sauce and mix well || Cover and cook about 15 minutes, stirring occasionally || When chicken is browned and cooked through, stir in mustard, tomato sauce and honey and combine until glossy || Serve over rice, mashed potatoes or on its own","","","",easy,main,Fusion,"sweet-savory,chicken,stovetop,easy,family-friendly",Recipe cooks until liquid reduces then finishes with a sticky glaze.,pineapple_chicken.png
4,Baked Mozzarella-Stuffed Meatballs,"Juicy beef-and-pork meatballs stuffed with mozzarella, baked and simmered briefly in marinara sauce.","Pork Mince;Beef Mince;Breadcrumbs;Mozzarella;Parmesan;Egg;Garlic;Italian Seasoning;Salt;Pepper;Marinara Sauce;Basil","Preheat oven to 200°C || In a large bowl combine pork, beef, breadcrumbs, mozzarella, Parmesan, egg, garlic, Italian seasoning, salt and pepper; mix well || Scoop about 1 tbsp of mixture, flatten in your hand, place a small cube of mozzarella in the centre, wrap meat around it and roll into a ball || Place meatballs on a lined baking sheet || Bake 20–25 minutes until golden and cooked through || Meanwhile heat marinara sauce gently in a saucepan || Add cooked meatballs to sauce and simmer a few minutes so flavours meld || Serve warm garnished with basil","",25,25,medium,main,Italian,"meatballs,baked,cheesy,comfort,freezer-friendly","Can add chilli flakes for heat; freezes well before or after baking; serve with pasta, rice or in a sandwich.",meatballs.png
5,Steak Fajita Stir-Fry,"Quick marinated steak fajita-style stir-fry with peppers and onions, served in warm tortillas.","Steak;Bell Pepper;Bell Pepper;Onion;Olive Oil;Lime Juice;Chili Powder;Cumin;Cayenne Pepper;Salt;Black Pepper;Garlic;Tortillas;Guacamole;Sour Cream;Salsa;Coriander;Cheese","Place meat strips in a sealable bag; place sliced peppers and onions in a separate bag || Whisk together olive oil, lime juice, chili powder, cumin, cayenne, salt, pepper and garlic || Pour 1/3 of the marinade over the meat, 1/3 over the vegetables and reserve the remaining 1/3 for later || Seal bags and chill 1 hour to overnight || Heat a large pan over medium-high heat and stir-fry the vegetables about 5 minutes until just tender-crisp; remove and keep warm || In the same pan, cook the meat 7–10 minutes until browned and cooked through || Return vegetables to the pan, add remaining marinade and heat 1–2 minutes || Serve warm in tortillas with desired toppings",60,10,"",medium,main,Tex-Mex,"stir-fry,fajitas,beef,tortillas,marinated",Marinate 1 hour to overnight for best flavour.,stirfry.png
6,Cheesy Garlic Chicken Wraps,"Quick cheesy garlic chicken wraps — crisp outside, cheesy inside.","Chicken Breast;Mozzarella;Cheddar;Flour Wraps;Butter;Garlic;Mayonnaise;Sour Cream;Garlic Powder;Onion Powder;Paprika;Parsley;Salt;Pepper","Mix mayonnaise, sour cream, garlic powder, onion powder, paprika, salt and pepper || Add chicken and mix until well coated || Place a wrap flat and sprinkle mozzarella and cheddar down the centre || Spoon chicken mixture on top, fold sides and roll tightly || Mix melted butter and minced garlic and brush the outside of the wraps || Grill in a pan 2–3 minutes per side until golden and cheese is melted || Garnish with parsley and serve",10,10,20,easy,lunch,International,"wraps,quick,lunch,cheesy,grill",Approx. 460 kcal per wrap (estimate).,chicken_wrap.png
7,Braised Lamb Shanks,Slow-braised lamb shanks in a rich red-wine and tomato braising liquid; fall-off-the-bone tender.,"Lamb Shanks;Olive Oil;Onion;Garlic;Carrot;Beef Stock;Red Wine;Tomato Paste;Honey;Rosemary;Thyme;Bay Leaf;Salt;Pepper","Preheat oven to 160°C || Season lamb shanks with salt and pepper || Heat olive oil in a large ovenproof pot and brown shanks on all sides; remove and set aside || In the same pot add onions, carrots and garlic and sauté 5–7 minutes until softened || Add beef stock, red wine, tomato paste, honey and herbs; bring to a gentle simmer || Return shanks to the pot, nestle into the braising liquid and cover || Transfer to oven and braise 2½–3 hours (up to 3½ hours for extra tenderness) until meat is very tender and starting to fall from the bone || Serve over creamy mash, polenta or rice and spoon extra sauce over the top; garnish with fresh herbs","",150,150,medium,main,European,"braise,slow-cook,lamb,comfort,holiday","If not using red wine, substitute ½ cup apple cider vinegar + ½ cup extra stock; longer cook time yields more tender meat.",lamb_shanks.png
8,Smothered Pork Chops,Crispy-seared bone-in pork chops finished in a rich onion gravy (smothered-style).,"Pork Chops;Onion Powder;Garlic Powder;Cayenne Pepper;Seasoning Mix;Salt;Black Pepper;Olive Oil;Flour;Butter;Onion;Garlic;Thyme;Chicken Stock;Buttermilk;Parsley","Pat pork chops dry and season with onion powder, garlic powder, cayenne, seasoning mix/salt and black pepper || Dredge chops in flour, shaking off excess and reserve remaining flour for the gravy || Heat 2 tbsp olive oil + 1 tbsp butter in a large pan and brown chops 3–4 minutes per side until golden; remove and keep warm || In the same pan add 1 tbsp butter, then sliced onions and a pinch of salt; cook until soft and caramelized (~10 minutes) || Add garlic and thyme for 30 seconds || Sprinkle 2 tbsp of the reserved flour over the onions and stir to form a roux || Gradually add chicken stock while stirring, scraping browned bits from the pan, and let thicken 1–2 minutes || Whisk in buttermilk or cream and simmer until creamy || Return chops to the pan, spoon gravy over them and simmer 5 minutes until pork is cooked through; thin gravy with extra stock or cream if needed || Garnish with parsley and serve","","","",medium,main,Southern,"pork,gravy,comfort,stovetop","Reserve some dredging flour to thicken the gravy; serve with mashed potatoes, rice or roasted veg.",pork_chops.png
9,Indian Beef Curry,"A fragrant Indian-style beef curry simmered with whole spices, tomatoes and fresh coriander.","Beef;Onion;Tomato;Garlic;Coriander;Cooking Oil;Salt;Water;Chilli Flakes;Turmeric;Garam Masala;Ginger Paste;Oil;Coriander Powder;Cinnamon Stick;Bay Leaf;Cumin Seeds","Marinate beef cubes with marinade spices (chilli flakes, turmeric, garam masala), ginger paste, 1 tsp oil and 1 tsp salt for 15 minutes || Heat oil in a pan, add cumin seeds, cinnamon stick and bay leaves and let sizzle to release aromas || Add chopped onions and cook until translucent || Add garlic and cook until light brown || Add chopped tomatoes and cook until soft || Add marinated beef and the ground spices (chilli powder, turmeric, coriander powder, garam masala) and sauté 1–2 minutes || Add warm water to just cover the beef, add salt to taste, reduce heat and simmer covered about 1 hour or until beef is tender (add water if needed) || When beef is tender, adjust seasoning and stir through fresh coriander before serving","",60,"",medium,main,Indian,"curry,spicy,slow-simmer,stovetop",Simmer ~1 hour or until beef is tender; adjust water during cooking if needed; finish with fresh coriander.,beef_curry.png
10,Mac and Cheese with Beef (Casserole),Layered casserole of seasoned beef base topped with macaroni in a cheesy sauce. Serves ~8.,"Tomato Sauce;Basting Sauce;Beef Mince;Crushed Biscuits;Onion Soup Mix;Eggs;Salt;Black Pepper;Macaroni;Cheddar;Milk;Butter;Flour;Mustard Powder","Preheat oven to 180°C || Mix tomato sauce and basting sauce and reserve 125 ml for later || In a bowl combine mince, crushed biscuits, onion-soup mix, eggs, salt, pepper and remaining 125 ml of sauce; press mixture into a 23×33 cm oven dish || Spread reserved sauce over the meat layer || Bake meat layer 30 minutes || Meanwhile cook macaroni until just tender and drain || Make cheese sauce: melt butter, stir in flour and cook 1 minute, whisk in milk until thickened, stir in 500 ml of grated cheddar, season with salt, pepper and mustard powder || Mix macaroni into cheese sauce || Remove meat from oven, spoon mac-and-cheese over the meat layer and sprinkle remaining 250 ml cheddar on top || Return to oven 20–25 minutes until golden and bubbling || Let rest 10 minutes before slicing and serving","","",65,medium,main,South African,"casserole,mac-and-cheese,beef,baked,comfort",Serves approx. 8; total time ~65 minutes including resting.,mac_and_cheese.png
